age,experience_years,education,job_title,income,region,employment_status,enumerator_id,question_id
30,8,PhD,Senior Researcher,69413,Dammam,Self-employed,E002,Q4
37,17,PhD,Scientist,0,Dammam,Full-time,E012,Q1
52,14,PhD,Research Director,41369,Riyadh,Full-time,E008,Q2
29,6,Master,Consultant,29621,Riyadh,Full-time,E007,Q7
38,6,Master,Researcher,32754,Riyadh,Full-time,E008,Q9
12,8,Diploma,Lab Technician,5290,Dammam,Part-time,E015,Q6
54,8,PhD,Cashier,5814,Jeddah,Part-time,E009,Q7
88,5,Master,Financial Analyst,29746,Riyadh,Full-time,E006,Q2
21,10,Diploma,Receptionist,5817,Jeddah,Student,E014,Q5
45,5,High School,Waiter,3648,Dammam,Part-time,E005,Q5
24,0,High School,Worker,7186,Riyadh,Full-time,E003,Q2
47,21,Diploma,Lab Technician,0,Jeddah,Full-time,E006,Q9
30,4,Master,Consultant,22578,Riyadh,Part-time,E005,Q6
35,11,Diploma,Nurse,0,Riyadh,Full-time,E007,Q3
26,3,High School,Clerk,7407,Riyadh,Full-time,E006,Q2
37,3,High School,Cashier,6526,Riyadh,Full-time,E008,Q5
52,9,PhD,Professor,26627,Jeddah,Full-time,E012,Q9
74,16,PhD,Department Head,30706,Dammam,Full-time,E003,Q8
50,22,PhD,Department Head,63477,Jeddah,Full-time,E004,Q7
39,12,Master,Financial Analyst,22911,Jeddah,Full-time,E008,Q2
24,4,Bachelor,Analyst,15761,Riyadh,Full-time,E005,Q10
23,2,PhD,Professor,70566,Jeddah,Self-employed,E012,Q1
22,11,Diploma,Technician,10964,Jeddah,Student,E007,Q5
49,23,Diploma,Nurse,11894,Dammam,Full-time,E005,Q5
45,3,PhD,Research Director,58297,Dammam,Full-time,E005,Q2
23,0,Bachelor,HR Officer,21966,Riyadh,Self-employed,E007,Q2
25,3,High School,Worker,5570,Riyadh,Self-employed,E013,Q9
40,7,Diploma,Technician,11559,Jeddah,Part-time,E014,Q7
13,16,Diploma,Technician,11573,Riyadh,Full-time,E012,Q9
39,10,Master,Project Manager,31369,Dammam,Full-time,E013,Q8
34,14,PhD,Scientist,65055,Dammam,Self-employed,E008,Q3
22,5,PhD,Professor,73332,Riyadh,Full-time,E008,Q4
50,31,Master,Project Manager,29498,Riyadh,Full-time,E013,Q5
40,22,PhD,Security Guard,4195,Riyadh,Part-time,E010,Q5
38,15,Diploma,Nurse,9270,Dammam,Self-employed,E013,Q9
23,3,Bachelor,Software Developer,17562,Jeddah,Part-time,E003,Q6
37,51,PhD,Professor,34606,Riyadh,Full-time,E010,Q2
13,2,Bachelor,Teacher,13248,Jeddah,Part-time,E014,Q9
46,0,Master,Financial Analyst,21666,Dammam,Part-time,E001,Q3
44,24,High School,Clerk,65514,Dammam,Unemployed,E008,Q2
30,2,High School,Scientist,44782,Jeddah,Full-time,E001,Q3
50,25,Bachelor,Accountant,0,Riyadh,Full-time,E006,Q6
34,2,High School,Waiter,0,Jeddah,Full-time,E013,Q10
24,0,Diploma,Nurse,9701,Riyadh,Full-time,E008,Q7
32,9,PhD,Professor,25654,Dammam,Full-time,E007,Q7
42,22,Bachelor,Designer,23886,Dammam,Full-time,E006,Q8
19,1,High School,Research Director,66754,Jeddah,Part-time,E015,Q1
40,17,Master,Data Scientist,62574,Jeddah,Unemployed,E006,Q7
39,5,PhD,Cashier,3137,Riyadh,Full-time,E011,Q2
20,10,PhD,Senior Researcher,73825,Riyadh,Part-time,E007,Q6
32,4,PhD,Cashier,4835,Dammam,Full-time,E015,Q7
41,7,Diploma,Technician,5830,Riyadh,Self-employed,E005,Q3
21,0,Diploma,Nurse,10693,Riyadh,Part-time,E001,Q9
49,18,High School,Research Director,76821,Dammam,Full-time,E007,Q2
23,11,PhD,Professor,76899,Dammam,Part-time,E002,Q4
46,18,Bachelor,Marketing Specialist,22898,Dammam,Full-time,E007,Q7
28,0,High School,Waiter,7127,Dammam,Full-time,E007,Q2
42,7,Diploma,Lab Technician,7694,Riyadh,Full-time,E008,Q8
43,15,PhD,Janitor,6728,Riyadh,Full-time,E001,Q6
22,20,PhD,Professor,65956,Dammam,Full-time,E003,Q2
45,17,High School,Janitor,5312,Jeddah,Full-time,E005,Q4
31,1,High School,Security Guard,6017,Jeddah,Part-time,E001,Q1
41,6,PhD,Waiter,4021,Jeddah,Full-time,E015,Q10
40,16,Bachelor,Marketing Specialist,10834,Riyadh,Self-employed,E005,Q7
19,1,High School,Security Guard,68177,Jeddah,Unemployed,E002,Q8
51,31,Master,Data Scientist,26143,Riyadh,Full-time,E008,Q10
29,0,Bachelor,Accountant,12170,Riyadh,Part-time,E015,Q8
40,16,High School,Driver,4766,Riyadh,Full-time,E015,Q6
30,10,High School,Worker,6108,Riyadh,Full-time,E006,Q7
41,52,Master,Consultant,16902,Dammam,Part-time,E012,Q5
16,2,Diploma,Administrative Assistant,8818,Riyadh,Full-time,E014,Q7
38,20,Master,Project Manager,32648,Jeddah,Full-time,E007,Q9
44,15,Diploma,Technician,10515,Dammam,Full-time,E006,Q5
24,0,Diploma,Research Director,54287,Jeddah,Full-time,E012,Q4
39,6,PhD,Professor,29791,Riyadh,Full-time,E013,Q7
40,15,Bachelor,Teacher,12150,Jeddah,Full-time,E005,Q4
41,11,Master,Researcher,24933,Riyadh,Self-employed,E005,Q3
18,17,PhD,Senior Researcher,62792,Riyadh,Full-time,E013,Q8
51,1,Master,Financial Analyst,0,Jeddah,Full-time,E006,Q9
52,7,Bachelor,Teacher,14988,Jeddah,Full-time,E010,Q4
36,15,Master,Researcher,22305,Riyadh,Part-time,E012,Q1
32,13,High School,Janitor,7696,Riyadh,Full-time,E001,Q8
48,14,Diploma,Nurse,11789,Dammam,Full-time,E010,Q3
25,2,High School,Janitor,39625,Riyadh,Unemployed,E014,Q6
44,3,Master,Data Scientist,39735,Riyadh,Self-employed,E011,Q9
20,2,High School,Driver,3383,Riyadh,Part-time,E012,Q3
41,4,Diploma,Nurse,50310,Dammam,Unemployed,E013,Q8
43,13,PhD,Department Head,60453,Jeddah,Full-time,E009,Q10
46,17,High School,Worker,5325,Riyadh,Self-employed,E006,Q2
35,5,Bachelor,Analyst,8242,Dammam,Part-time,E006,Q8
37,2,Master,Project Manager,39384,Riyadh,Full-time,E011,Q1
47,25,Diploma,Surgeon,40185,Jeddah,Self-employed,E010,Q8
32,13,Bachelor,Marketing Specialist,21919,Dammam,Full-time,E012,Q7
51,3,Master,Data Scientist,38608,Riyadh,Full-time,E004,Q8
27,3,Bachelor,HR Officer,22997,Riyadh,Part-time,E012,Q5
46,9,High School,Waiter,7756,Riyadh,Full-time,E013,Q6
35,5,Master,Consultant,27040,Jeddah,Self-employed,E012,Q9
34,13,High School,Cashier,6464,Jeddah,Part-time,E015,Q9
48,11,High School,Driver,5943,Riyadh,Full-time,E004,Q5
46,22,Bachelor,Software Developer,51677,Jeddah,Unemployed,E006,Q3
32,0,Bachelor,Analyst,13664,Riyadh,Full-time,E008,Q7
42,23,High School,Driver,4831,Riyadh,Full-time,E009,Q1
43,6,Diploma,Administrative Assistant,9630,Jeddah,Full-time,E015,Q6
32,14,Diploma,Technician,6790,Jeddah,Part-time,E015,Q5
32,5,High School,Waiter,7851,Riyadh,Self-employed,E009,Q10
43,5,High School,Driver,4356,Jeddah,Full-time,E013,Q5
42,8,High School,Security Guard,6000,Jeddah,Full-time,E013,Q1
58,14,PhD,Scientist,52087,Dammam,Full-time,E012,Q7
28,8,Master,Financial Analyst,29805,Jeddah,Full-time,E015,Q2
54,12,Master,Project Manager,15393,Dammam,Full-time,E010,Q4
44,20,Bachelor,Marketing Specialist,22993,Jeddah,Full-time,E005,Q3
28,2,Diploma,Administrative Assistant,38462,Riyadh,Unemployed,E009,Q2
27,3,Diploma,Technician,11702,Riyadh,Full-time,E003,Q8
33,5,High School,Clerk,3737,Dammam,Full-time,E008,Q9
44,17,High School,Janitor,5202,Jeddah,Full-time,E008,Q4
23,5,High School,Clerk,3648,Riyadh,Self-employed,E004,Q7
19,0,High School,Cashier,6375,Jeddah,Full-time,E011,Q2
90,10,Diploma,Receptionist,7725,Dammam,Full-time,E014,Q5
48,24,Bachelor,Accountant,18946,Dammam,Full-time,E012,Q5
30,5,Master,Project Manager,17842,Jeddah,Full-time,E001,Q7
26,6,High School,Surgeon,49026,Riyadh,Full-time,E014,Q1
33,14,Diploma,Receptionist,0,Dammam,Full-time,E011,Q7
52,34,Master,Consultant,24264,Dammam,Full-time,E015,Q1
21,1,High School,Worker,7125,Riyadh,Full-time,E001,Q8
53,1,PhD,Department Head,66823,Riyadh,Full-time,E005,Q9
51,33,Diploma,Research Director,52265,Jeddah,Full-time,E004,Q10
38,9,Bachelor,HR Officer,22532,Riyadh,Full-time,E004,Q8
26,7,Bachelor,Analyst,24821,Jeddah,Full-time,E011,Q9
22,10,Diploma,Technician,9710,Riyadh,Student,E005,Q2
36,1,Master,Senior Engineer,16511,Riyadh,Full-time,E008,Q4
24,2,Bachelor,Marketing Specialist,11421,Dammam,Part-time,E006,Q9
47,19,High School,Waiter,7455,Dammam,Part-time,E001,Q2
34,12,Bachelor,Marketing Specialist,14235,Jeddah,Full-time,E006,Q6
47,28,Master,Researcher,25667,Dammam,Full-time,E010,Q3
33,2,Bachelor,Teacher,24578,Dammam,Full-time,E014,Q5
47,22,PhD,Scientist,0,Riyadh,Full-time,E012,Q4
14,16,Diploma,Nurse,8238,Dammam,Self-employed,E006,Q4
20,2,High School,Waiter,7883,Dammam,Full-time,E011,Q7
37,4,PhD,Department Head,52405,Dammam,Full-time,E013,Q6
27,1,Diploma,Receptionist,9874,Dammam,Self-employed,E012,Q2
26,4,Master,Data Scientist,27184,Dammam,Part-time,E004,Q10
49,8,Diploma,Lab Technician,9212,Riyadh,Full-time,E005,Q6
15,15,PhD,Scientist,53487,Dammam,Part-time,E006,Q2
53,5,PhD,Scientist,36860,Dammam,Full-time,E012,Q7
34,1,PhD,Scientist,49865,Dammam,Full-time,E015,Q1
28,0,PhD,Professor,27677,Dammam,Full-time,E010,Q6
30,5,PhD,Scientist,54571,Jeddah,Full-time,E001,Q1
95,16,PhD,Department Head,41865,Riyadh,Full-time,E012,Q6
38,2,Diploma,Nurse,11310,Jeddah,Full-time,E013,Q2
49,12,PhD,Department Head,62792,Riyadh,Part-time,E002,Q10
53,24,Master,Project Manager,17998,Riyadh,Full-time,E001,Q9
37,17,Master,Project Manager,21086,Dammam,Full-time,E001,Q9
30,7,Master,Data Scientist,32096,Jeddah,Full-time,E011,Q8
42,18,PhD,Janitor,4317,Dammam,Part-time,E006,Q10
34,14,Diploma,Lab Technician,9240,Dammam,Full-time,E005,Q7
22,10,High School,Security Guard,4974,Dammam,Student,E011,Q10
86,14,PhD,Research Director,63284,Riyadh,Part-time,E011,Q1
29,11,Diploma,Administrative Assistant,11584,Dammam,Full-time,E006,Q4
51,31,PhD,Senior Researcher,35435,Riyadh,Self-employed,E012,Q6
22,3,High School,Janitor,6232,Dammam,Full-time,E015,Q5
46,1,PhD,Research Director,52421,Riyadh,Full-time,E011,Q1
30,5,High School,Cashier,7449,Jeddah,Self-employed,E001,Q7
31,0,Bachelor,HR Officer,22837,Jeddah,Part-time,E003,Q3
30,6,PhD,Research Director,67962,Jeddah,Full-time,E006,Q3
24,1,High School,Driver,4768,Riyadh,Full-time,E011,Q6
54,16,Master,Financial Analyst,29978,Jeddah,Self-employed,E012,Q4
50,29,Diploma,Technician,6532,Jeddah,Full-time,E014,Q2
41,10,Diploma,Technician,9176,Dammam,Full-time,E013,Q10
40,12,High School,Janitor,0,Jeddah,Self-employed,E003,Q7
50,2,PhD,Professor,55576,Riyadh,Part-time,E009,Q6
14,6,Diploma,Receptionist,5585,Riyadh,Full-time,E015,Q2
20,22,Bachelor,Marketing Specialist,11345,Dammam,Student,E015,Q4
34,4,PhD,Security Guard,3904,Dammam,Part-time,E004,Q6
30,5,PhD,Department Head,66000,Riyadh,Self-employed,E001,Q1
37,6,Bachelor,HR Officer,17762,Jeddah,Full-time,E001,Q10
38,2,Diploma,Receptionist,9259,Riyadh,Full-time,E004,Q10
40,12,PhD,Research Director,0,Riyadh,Full-time,E009,Q2
20,1,Diploma,Receptionist,5857,Riyadh,Full-time,E007,Q10
36,0,High School,Clerk,5540,Dammam,Part-time,E013,Q1
27,6,Diploma,Lab Technician,0,Jeddah,Full-time,E010,Q5
47,11,Diploma,Surgeon,55257,Riyadh,Self-employed,E015,Q1
14,6,Bachelor,Teacher,19224,Riyadh,Self-employed,E004,Q4
41,15,PhD,Senior Researcher,69160,Riyadh,Part-time,E012,Q6
29,0,Diploma,Lab Technician,7923,Dammam,Full-time,E013,Q4
53,26,PhD,Department Head,57528,Dammam,Part-time,E005,Q10
47,7,Diploma,Lab Technician,0,Dammam,Full-time,E009,Q7
18,4,PhD,Professor,58568,Dammam,Full-time,E003,Q5
40,11,High School,Security Guard,4651,Dammam,Full-time,E009,Q9
46,0,PhD,Department Head,59533,Riyadh,Self-employed,E005,Q5
30,2,Bachelor,HR Officer,13016,Jeddah,Full-time,E011,Q5
42,20,Bachelor,Designer,17117,Riyadh,Full-time,E009,Q7
54,36,Master,Researcher,36979,Dammam,Part-time,E012,Q9
48,17,High School,Worker,4697,Jeddah,Full-time,E004,Q5
34,6,Diploma,Lab Technician,11709,Jeddah,Full-time,E014,Q7
14,3,PhD,Department Head,51028,Riyadh,Full-time,E005,Q4
22,1,Diploma,Lab Technician,5572,Dammam,Full-time,E011,Q5
32,14,Diploma,Nurse,10244,Jeddah,Full-time,E015,Q5
19,18,PhD,Senior Researcher,30259,Dammam,Student,E007,Q6
20,21,Diploma,Technician,7585,Jeddah,Student,E007,Q1
46,2,High School,Cashier,3510,Jeddah,Full-time,E013,Q6
25,4,PhD,Cashier,5850,Jeddah,Self-employed,E006,Q5
45,4,Diploma,Receptionist,5699,Riyadh,Full-time,E015,Q1
33,8,Bachelor,Accountant,17857,Jeddah,Self-employed,E013,Q5
28,0,Master,Project Manager,30668,Jeddah,Full-time,E013,Q10
49,20,Bachelor,Software Developer,17147,Riyadh,Self-employed,E005,Q7
