age,experience_years,education,job_title,income,region,employment_status,enumerator_id
24,4,High School,Security Guard,7083,الرياض,Full-time,EN-004
17,15,Bachelor,Software Developer,8945,مكة,Self-employed,EN-003
40,2,PhD,Scientist,32435,جدة,Full-time,EN-003
38,8,Bachelor,Designer,23810,مكة,Self-employed,EN-008
30,9,Master,Project Manager,17287,تبوك,Full-time,EN-006
35,0,PhD,Director,44566,حائل,Part-time,EN-003
35,10,Master,Researcher,29920,مكة,Self-employed,EN-004
46,24,Diploma,Clerk,5357,حائل,Full-time,EN-007
20,11,PhD,Professor,61005,أبها,Self-employed,EN-002
51,9,Master,Senior Engineer,30384,المدينة,Part-time,EN-006
